English	Indo-European	English	en	eng	eng	eng	engs
Abkhaz	Northwest Caucasian	аҧсуа бызшәа	ab	ab	abk	abk	abk
Afar	Afro-Asiatic	Afaraf	aa	aar	aar	aar	aars
Afrikaans	Indo-European	Afrikaans	af	afr	afr	afr	afrs
Akan	Niger–Congo	Akan	ak	aka	aka	aka + 2	
Albanian	Indo-European	Shqip	sq	sqi	alb	sqi + 4	
Amharic	Afro-Asiatic	አማርኛ	am	amh	amh	amh	
Arabic	Afro-Asiatic	العربية 	ar	ara	ara	ara + 30	
Aragonese	Indo-European	aragonés	an	arg	arg	arg	
Armenian	Indo-European	Հայերեն	hy	hye	arm	hye	
Assamese	Indo-European	অসমীয়া	as	asm	asm	asm	
Avar (Avaric)	Northeast Caucasian	авар мацӀ	av	av	ava	ava	ava
Avestan	Indo-European	avesta	ae	ave	ave	ave	
Aymara	Aymaran	aymar aru	ay	aym	aym	aym + 2	
Azerbaijani	Turkic	azərbaycan dili	az	aze	aze	aze + 2	
Bamanankan (Bambara)	Niger–Congo	bamanankan	bm	bam	bam	bam	
Bashkir	Turkic	башҡорт теле	ba	bak	bak	bak	
Basque	Language isolate	euskara	eu	eu	eus	baq	eus
Belarusan (Belarusian)	Indo-European	беларуская мова	be	bel	bel	bel	
Bengali	Indo-European	বাংলা	bn	ben	ben	ben	
Bislama	Creole	Bislama	bi	bis	bis	bis	
Bosnian	Indo-European	bosanski jezik	bs	bos	bos	bos	boss
Breton	Indo-European	brezhoneg	br	bre	bre	bre	
Bulgarian	Indo-European	български език	bg	bul	bul	bul	buls
Burmese (Myanmar)	Sino-Tibetan	ဗမာစာ	my	mya	bur	mya	
Catalan	Indo-European	català	ca	cat	cat	cat	
Chamorro	Austronesian	Chamoru	ch	cha	cha	cha	
Chechen	Northeast Caucasian	нохчийн мотт	ce	che	che	che	
Chinese (Traditional)	Sino-Tibetan	中文 (Zhōngwén)	zh	zh	zh	zho	chi
Chuvash	Turkic	чӑваш чӗлхи	cv	chv	chv	chv	
Cornish	Indo-European	Kernewek	kw	cor	cor	cor	
Corsican	Indo-European	corsu	co	co	cos	cos	cos
Cree	Algonquian	ᓀᐦᐃᔭᐍᐏᐣ	cr	cre	cre	cre + 6	
Croatian	Indo-European	hrvatski jezik	hr	hrv	hrv	hrv	
Czech	Indo-European	čeština	cz	cs	ces	cze	ces
Danish	Indo-European	dansk	da	dan	dan	dan	
Dutch	Indo-European	Nederlands	nl	nl	nld	dut	nld
Dzongkha (Bhutani)	Sino-Tibetan	རྫོང་ཁ	dz	dzo	dzo	dzo	
Esperanto	Constructed	Esperanto	eo	epo	epo	epo	
Estonian	Uralic	eesti	et	et	est	est	est + 2
Faroese	Indo-European	føroyskt	fo	fao	fao	fao	
Fijian	Austronesian	vosa Vakaviti	fj	fij	fij	fij	
Finnish	Uralic	suomi	fi	fi	fin	fin	fin
French (France)	Indo-European	français	fr	fr	fra	fre	fra
Frisian	 Western	Indo-European	fy	fy	fry	fry	fry
Fulah	Niger–Congo	Fulfulde	ff	ff	ff	ful	ful
Gaelic	 Scottish (Gàidhlig)	Indo-European	gd	gd	gla	gla	gla
Galician	Indo-European	galego	gl	glg	glg	glg	
Ganda (Luganda)	Niger–Congo	Luganda	lg	lug	lug	lug	
Georgian	South Caucasian	ქართული	ka	kat	geo	kat	
German	Indo-European	Deutsch	de	deu	ger	deu	deus
Gikuyu (Kikuyu)	Niger–Congo	Gĩkũyũ	ki	kik	kik	kik	
Greek	Indo-European	ελληνικά	el	ell	gre	ell	ells
Guarani	Tupian	Avañe'ẽ	gn	grn	grn	grn + 5	
Gujarati	Indo-European	ગુજરાતી	gu	guj	guj	guj	
Haitian Creole	Creole	Kreyòl ayisyen	ht	hat	hat	hat	
Hausa	Afro-Asiatic	(Hausa) هَوُسَ 	ha	hau	hau	hau	
Hebrew	Afro-Asiatic	עברית 	he	heb	heb	heb	
Herero	Niger–Congo	Otjiherero	hz	her	her	her	
Hindi	Indo-European	हिन्दी	hi	hi	hin	hin	hin
Hungarian	Uralic	magyar	hu	hun	hun	hun	
Icelandic	Indo-European	Íslenska	is	isl	ice	isl	
Ido	Constructed	Ido	io	ido	ido	ido	idos
Igbo	Niger–Congo	Asụsụ Igbo	ig	ibo	ibo	ibo	
Indonesian	Austronesian	Bahasa Indonesia	id	ind	ind	ind	
Interlingua	Constructed	Interlingua	ia	ina	ina	ina	
Interlingue (Occidental)	Constructed	Interlingue	ie	ile	ile	ile	
Inuktitut	Eskimo–Aleut	ᐃᓄᒃᑎᑐᑦ	iu	iku	iku	iku + 2	
Inuktitut	 Greenlandic (Kalaallisut)	Eskimo–Aleut	kl	kl	kl	kal	kal
Inupiaq	Eskimo–Aleut	Iñupiaq	ik	ipk	ipk	ipk	ipk + 2
Irish	Indo-European	Gaeilge	ga	gle	gle	gle	
Italian	Indo-European	italiano	it	ita	ita	ita	itas
Japanese	Japonic	日本語 (にほんご)	ja	jpn	jpn	jpn	
Javanese	Austronesian	basa Jawa	jv	jav	jav	jav	
Kannada	Dravidian	ಕನ್ನಡ	kn	kan	kan	kan	
Kanuri	Nilo-Saharan	Kanuri	kr	kau	kau	kau + 3	
Kashmiri	Indo-European	कश्मीरी	ks	ks	kas	kas	kas
Kazakh	Turkic	қазақ тілі	kk	kaz	kaz	kaz	
Khmer (Cambodian)	Austroasiatic	ខ្មែរ	km	km	km	khm	khm
Kirghiz (Kyrgyz)	Turkic	Кыргызча	ky	ky	kir	kir	kir
Komi	Uralic	коми кыв	kv	kom	kom	kom + 2	
Kongo	Niger–Congo	Kikongo	kg	kon	kon	kon + 3	
Korean	Koreanic	한국어	ko	ko	kor	kor	kor
Kurdish	Indo-European	Kurdî	ku	ku	kur	kur	kur + 3
Kwanyama (Kuanyama)	Niger–Congo	Kuanyama	kj	kua	kua	kua	
Lao	Tai–Kadai	ພາສາລາວ	lo	lao	lao	lao	
Latin	Indo-European	latine	la	la	lat	lat	lat
Latvian	Indo-European	latviešu valoda	lv	lav	lav	lav + 2	
Limburgisch (Limburgs Plat)	Indo-European	Limburgs	li	lim	lim	lim	
Lingala	Niger–Congo	Lingála	ln	lin	lin	lin	
Lithuanian	Indo-European	lietuvių kalba	lt	lit	lit	lit	
Luba-Katanga	Niger–Congo	Tshiluba	lu	lub	lub	lub	
Luxembourgish (Letzeburgisch)	Indo-European	Lëtzebuergesch	lb	ltz	ltz	ltz	
Macedonian	Indo-European	македонски јазик	mk	mkd	mac	mkd	
Malagasy	Austronesian	fiteny malagasy	mg	mlg	mlg	mlg + 10	
Malay	Austronesian	bahasa Melayu	ms	ms	msa	may	msa + 13
Malayalam	Dravidian	മലയാളം	ml	mal	mal	mal	
Maldivian (Divehi)	Indo-European	ދިވެހި 	dv	div	div	div	
Maltese	Afro-Asiatic	Malti	mt	mlt	mlt	mlt	
Manx (Manx Gaelic)	Indo-European	Gaelg	gv	gv	glv	glv	glv
Maori	Austronesian	te reo Māori	mi	mri	mao	mri	
Marathi	Indo-European	मराठी	mr	mar	mar	mar	
Marshallese	Austronesian	Kajin M̧ajeļ	mh	mah	mah	mah	
Mongolian	Mongolic	монгол	mn	mon	mon	mon + 2	
Motu	 Hiri	Austronesian	ho	ho	hmo	hmo	hmo
Nauruan	Austronesian	Ekakairũ Naoero	na	nau	nau	nau	
Navajo (Navaho)	Dené–Yeniseian	Diné bizaad	nv	nav	nav	nav	
Ndebele (Ndebele Northern)	Niger–Congo	isiNdebele	nd	nde	nde	nde	
Ndebele (Nrebele)	Niger–Congo	isiNdebele	nr	nbl	nbl	nbl	
Ndonga	Niger–Congo	Owambo	ng	ndo	ndo	ndo	
Nepali	Indo-European	नेपाली	ne	nep	nep	nep	
Norwegian	Indo-European	Norsk	no	nor	nor	nor + 2	
Norwegian	 Bokmål (Bokmaal)	Indo-European	nb	nb	nob	nob	nob
Norwegian	 Nynorsk	Indo-European	nn	nn	nno	nno	nno
Nyanja (Chinyanja/Chewa)	Niger–Congo	chiCheŵa	ny	ny	nya	nya	nya
Occitan	Indo-European	occitan	oc	oc	oci	oci	oci
Ojibwa	Algonquian	ᐊᓂᔑᓈᐯᒧᐎᓐ	oj	oji	oji	oji + 7	
Oriya	Indo-European	ଓଡ଼ିଆ	or	ori	ori	ori	
Oromo	Afro-Asiatic	Afaan Oromoo	om	orm	orm	orm + 4	
Osetin (Ossete/Ossetian)	Indo-European	ирон æвзаг	os	oss	oss	oss	
Pali	Indo-European	पाऴि	pi	pli	pli	pli	
Panjabi (Punjabi)	Indo-European	ਪੰਜਾਬੀ	pa	pa	pan	pan	pan
Pashto	 Central (Mahsudi)	Indo-European	ps	ps	pus	pus	pus + 3
Persian (Farsi)	Indo-European	فارسی 	fa	fas	per	fas + 2	
Polish	Indo-European	język polski	pl	pl	pol	pol	pol
Portuguese (Portugal)	Indo-European	português	pt	por	por	por	
Quechua	Quechuan	Runa Simi	qu	qu	que	que	que + 44
Romanian	Indo-European	limba română	ro	ron	rum	ron	
Romansch	Indo-European	rumantsch grischun	rm	roh	roh	roh	
Rundi (Kirundi)	Niger–Congo	Ikirundi	rn	run	run	run	
Russian	Indo-European	Русский	ru	rus	rus	rus	
Rwanda (Kinyarwanda)	Niger–Congo	Ikinyarwanda	rw	kin	kin	kin	
Sami	 Northern	Uralic	se	se	sme	sme	sme
Samoan	Austronesian	gagana fa'a Samoa	sm	smo	smo	smo	
Sango	Creole	yângâ tî sängö	sg	sag	sag	sag	
Sanskrit	Indo-European	संस्कृतम्	sa	san	san	san	
Sardinian	Indo-European	sardu	sc	srd	srd	srd + 4	
Serbian	Indo-European	српски језик	sr	srp	srp	srp	
Shona	Niger–Congo	chiShona	sn	sna	sna	sna	
Sindhi	Indo-European	सिन्धी	sd	sd	snd	snd	snd
Sinhala (Sinhalese)	Indo-European	සිංහල	si	sin	sin	sin	
Slavonic	 Old Church	Indo-European	cu	cu	chu	chu	chu
Slovak	Indo-European	slovenčina	sk	sk	slk	slo	slk
Slovenian	Indo-European	slovenski jezik	sl	sl	slv	slv	slv
Somali	Afro-Asiatic	Soomaaliga	so	so	som	som	som
Sotho	 Southern	Niger–Congo	st	st	sot	sot	sot
Spanish	Indo-European	español	es	spa	spa	spa	
Sunda (Sundanese)	Austronesian	Basa Sunda	su	sun	sun	sun	
Swahili	Niger–Congo	Kiswahili	sw	swa	swa	swa + 2	
Swati	Niger–Congo	SiSwati	ss	ssw	ssw	ssw	
Swedish	Indo-European	svenska	sv	swe	swe	swe	
Tagalog	Austronesian	Wikang Tagalog	tl	tl	tgl	tgl	tgl
Tahitian	Austronesian	Reo Tahiti	ty	tah	tah	tah	
Tajiki (Tajik)	Indo-European	тоҷикӣ	tg	tg	tg	tgk	tgk
Tamil	Dravidian	தமிழ்	ta	tam	tam	tam	
Tatar	Turkic	татар теле	tt	tt	tat	tat	tat
Telugu	Dravidian	తెలుగు	te	tel	tel	tel	
Thai	Tai–Kadai	ไทย	th	tha	tha	tha	
Tibetan	Sino-Tibetan	བོད་ཡིག	bo	bod	tib	bod	
Tigrigna (Tigrinya)	Afro-Asiatic	ትግርኛ	ti	tir	tir	tir	
Tongan (Tonga)	Austronesian	faka Tonga	to	ton	ton	ton	
Tsonga	Niger–Congo	Xitsonga	ts	tso	tso	tso	
Tswana	Niger–Congo	Setswana	tn	tsn	tsn	tsn	
Turkish	Turkic	Türkçe	tr	tur	tur	tur	
Turkmen	Turkic	Türkmen	tk	tk	tuk	tuk	tuk
Twi	Niger–Congo	Twi	tw	twi	twi	twi	
Ukrainian	Indo-European	українська мова	uk	ukr	ukr	ukr	
Urdu	Indo-European	اردو 	ur	urd	urd	urd	
Uyghur (Uighur)	Turkic	ئۇيغۇرچە‎	ug	ug	uig	uig	uig
Uzbek	Turkic	Oʻzbek	uz	uz	uz	uzb	uzb
Venda	Niger–Congo	Tshivenḓa	ve	ven	ven	ven	
Vietnamese	Austroasiatic	Việtnam	vi	vie	vie	vie	
Volapük	Constructed	Volapük	vo	vol	vol	vol	
Walloon	Indo-European	walon	wa	wln	wln	wln	
Welsh	Indo-European	Cymraeg	cy	cym	wel	cym	
Wolof	Niger–Congo	Wollof	wo	wol	wol	wol	
Xhosa	Niger–Congo	isiXhosa	xh	xho	xho	xho	
Yi	 Sichuan	Sino-Tibetan	ii	ii	iii	iii	iii
Yiddish	Indo-European	ייִדיש 	yi	yid	yid	yid + 2	
Yoruba	Niger–Congo	Yorùbá	yo	yor	yor	yor	
Zhuang (Chuang)	Tai–Kadai	Saɯ cueŋƅ	za	za	zha	zha	zha + 16
Zulu	Niger–Congo	isiZulu	zu	zul	zul	zul	
Éwé	Niger–Congo	Eʋegbe	ee	ewe	ewe	ewe	
